Kodas,Pavadinimas,Aprašas,"Pagrindinės užduotys","Būdingos kompetencijos"
111301,"Seniūnijos seniūnas","Vadovauja seniūnijai ir administruoja seniūnijos vidaus veiklą.","• administruoja biudžeto asignavimus, skirtus seniūnijai;• atsako už seniūnijos vidaus vadybą;• atlieka jam priskirtas personalo valdymo funkcijas;• atlieka notarinius veiksmus seniūnijos aptarnaujamos teritorijos gyventojams;• išduoda seniūnijai priskirtos teritorijos gyventojams šeimos sudėtį, gyvenamąją vietą ir kitokias faktinę padėtį patvirtinančias pažymas. ","• plėtoti bendruomenės ryšius;• analizuoti bendruomenės poreikius, nustatyti konkrečias socialines problemas bendruomenėje ir į jas reaguoti;• konsultuoti teisės aktų klausimais;• palaikyti ryšius su vietos mokslo, ekonomikos ir pilietinės visuomenės atstovais;• valdyti biudžetą;• imtis lyderystės kolektyve;• užtikrinti informacijos teikimo skaidrumą."
111401,"Politinės partijos (padalinio) vadovas","Vadovauja politinei partijai (padaliniui), užtikrina, kad būtų įgyvendinami strateginiai bei kasdieniai veiklos tikslai. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vykdo programą, statutą, suvažiavimo ir tarybos nutarimus, formuluoja užduotis, kontroliuoja jų vykdymą;• vadovauja tarybos, prezidiumo ar skyriaus darbui, rengia pasitarimus bei teikia ataskaitas valdymo organams;• nustato veiklos kryptis ir kuruoja partinę veiklą regionuose;• skiria pavedimus ir kontroliuoja jų įgyvendinimą;• užtikrina produktyvią komunikaciją su valstybinėmis įstaigomis, spauda ir žiniasklaida. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• vadovauti viešosios politikos įgyvendinimui;• palaikyti ryšius su vietos valdžios institucijomis;• vesti politines derybas;• palaikyti ryšius su politikais;• parengti problemų sprendimo strategiją."
111402,"Darbdavių organizacijos (padalinio) vadovas","Atstovauja darbdavių organizacijai, veikia jos vardu, gina darbdavių teisėtus interesus, užtikrina politikos krypčių ir nustatytų tikslų įgyvendinimą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","•nustato ir rengia organizacijos politikos kryptis, vadovauja bendros veiklos planavimui ir koordinavimui•gina organizacijos ir jos narių interesus valstybinėse institucijose bei visuomenėje•teikia ataskaitas direktorių tarybai, valdymo organams bei nariams•užtikrina tinkamą sistemų ir procedūrų, skirtų biudžetui kontroliuoti, parengimą ir įgyvendinimą•atlieka veiklos stebėseną ir vertinimą pagal nustatytus tikslus ir politikos kryptis ","•užtikrinti, kad būtų laikomasi nustatytos politikos•atstovauti organizacijai•palaikyti ryšius su valdžios institucijomis•analizuoti problemas•konsultuoti teisės aktų klausimais•įtikinamai išdėstyti argumentus derybų ar diskusijų metu"
111403,"Profesinės sąjungos (padalinio) vadovas","Vadovauja profesinei sąjungai (padaliniui) ir atstovauja jos narių interesams, užtikrindamas, kad būtų įgyvendinami strateginiai bei kasdieniai veiklos tikslai. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• nustato ir rengia profesinės sąjungos politikos kryptis, taisykles bei nuostatas ir vadovauja bendros veiklos planavimui ir koordinavimui;• atstovauja narių interesams įstatymų leidžiamosiose institucijose, Vyriausybėje ir visuomenėje; • teikia pasiūlymus valstybinės valdžios ir valdymo organams dėl norminių aktų darbo, ekonominiais ir socialiniais klausimais priėmimo, pakeitimo ar panaikinimo;• užtikrina tinkamą sistemų ir procedūrų, skirtų biudžetui kontroliuoti, parengimą ir įgyvendinimą;• teikia ataskaitas direktorių tarybai, valdymo organams bei profesinės sąjungos nariams;• palaiko ryšius su profesinėmis sąjungomis ir tarptautinėmis ir organizacijomis. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• analizuoti problemas;• konsultuoti teisės aktų klausimais;• įtikinamai išdėstyti argumentus derybų ar diskusijų metu."
111404,"Fondo (padalinio) vadovas","Vadovauja fondo veiklai, nustato politikos kryptis ir užtikrina, kad būtų įgyvendinami strateginiai ir kasdieniai veiklos tikslai, taip pat užtikrina politikos krypčių ir nustatytų tikslų įgyvendinimą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• nustato ir rengia fondo politikos kryptis, taisykles ir nuostatas;• vadovauja bendros veiklos planavimui ir koordinavimui, užtikrindamas išlaidų kontrolę ir veiksmingą išteklių naudojimą;• vykdo veiklos stebėseną ir vertinimą pagal nustatytus tikslus;• teikia ataskaitas valdymo organams ir fondo nariams;• atstovauja narių interesams derybose, renginiuose, viešuose projektų svarstymuose ir forumuose. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• analizuoti problemas;• įtikinamai išdėstyti argumentus derybų ar diskusijų metu;• formuoti komandas pagal kompetenciją."
111405,"Visuomeninės organizacijos (padalinio) vadovas","Vadovauja visuomeninės organizacijos (padalinio) veiklai, užtikrina, kad būtų įgyvendinami strateginiai veiklos tikslai, planai ir atliekamos kasdienės užduotys. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vadovauja visuomeninės organizacijos strateginio plano, metinių veiklos planų rengimui, tikslų nustatymui bei jų įgyvendinimui;• koordinuoja organizacijos veiklą ir atlieka personalo valdymo funkcijas;• vykdo veiklos stebėseną ir vertinimą pagal nustatytus tikslus bei analizuoja darbo rezultatus, įvertina jų efektyvumą;• teikia ataskaitas valdymo organams ir organizacijos nariams;• atstovauja narių interesams derybose, renginiuose, viešuose projektų svarstymuose ir forumuose.","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• analizuoti problemas;• įtikinamai išdėstyti argumentus derybų ar diskusijų metu;• valdyti biudžetą ir teikti ataskaitas. "
111406,"Raudonojo Kryžiaus organizacijos generalinis sekretorius","Vadovauja Raudonojo Kryžiaus organizacijos veiklai, koordinuoja humanitarines pastangas, tarptautinių partnerių bendradarbiavimą ir organizacijos strateginę plėtrą. Atstovauja organizacijai tarptautiniu mastu, užtikrina, kad humanitarinė pagalba pasiektų tuos, kuriems jos labiausiai reikia.","•koordinuoja tarptautinę humanitarinę pagalbą ir nustato veiklos prioritetus; •vadovauja organizacijos veiklai visais lygmenimis, įskaitant filialus ir projektų komandas; •formuluoja ir kryptingai įgyvendina ilgalaikius bei trumpalaikius strateginius tikslus; •užtikrina efektyvų ryšį su kitomis humanitarinėmis organizacijomis, valstybėmis ir tarptautinėmis institucijomis; •įvertina galimus krizės scenarijus ir vadovauja sprendimų priėmimui krizių valdymo situacijose.","•koordinuoja tarptautinę •kurti ilgalaikes vizijas ir strategijas; efektyviai bendrauti su įvairių kultūrų atstovais; •sudaryti veiksmingas darbo grupes;priimti veiksmingus sprendimus sunkiomis situacijomis; •gebėti valdyti žmogiškuosius ir finansinius išteklius."
111407,"Mokslų akademijos prezidentas","Vadovauja Mokslų akademijos veiklai ir užtikrina, kad būtų įgyvendinami šios akademijos veiklos tikslai ir atliekamos nustatytos funkcijos.","• vadovauja nustatant Akademijos politikos kryptis, programas, taisykles ir jas įgyvendinant;• pirmininkauja visuotiniams Akademijos narių susirinkimams ir prezidiumo posėdžiams;• atsiskaito už savo veiklą Akademijos narių susirinkime ir Seime;• užtikrina tinkamų sistemų ir procedūrų, skirtų biudžetui kontroliuoti, parengimą ir įgyvendinimą;• kontroliuoja padalinių, kuriems pavesta įgyvendinti Akademijos politikos kryptis, programas, taisykles ir nuostatus, veiklą;• atstovauja Akademijai užsienio bei tarptautinėse mokslinėse ir kitose organizacijose, sprendžia svarbiausius tarptautinio mokslinio bendradarbiavimo klausimus;• atstovauja Akademijai oficialiomis progomis renginiuose, viešuose projektų svarstymuose, konferencijose ir forumuose. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• plėtoti profesinių ryšių tinklą mokslo klausimais;• konsultuoti teisės aktų klausimais;• vykdyti personalo valdymo veiklą."
111408,"Mokslo tarybos pirmininkas","Vadovauja Lietuvos mokslo tarybos darbui ir užtikrina, kad būtų įgyvendinti strateginiai veiklos planai, tikslai, kryptys ir atliekamos nustatytos funkcijos.","• koordinuoja Tarybos veiklą ir organizuoja posėdžius;• atlieka veiklos stebėseną ir vertinimą pagal nustatytus strateginius tikslus ir politikos kryptis;• užtikrina tinkamų sistemų ir procedūrų, skirtų biudžetui kontroliuoti, parengimą ir įgyvendinimą;• bendradarbiauja su valstybės mokslo ir studijų, inovacijų politiką rengiančiomis ir įgyvendinančiomis institucijomis;• teikia ataskaitas finansavimo įstaigoms, valdymo organams, mokslo bendruomenei ir visuomenei;• priima sprendimus dėl dalyvavimo tarptautinėse programose bei mokslo organizacijose. ","• vykdyti strateginį valdymą;• atstovauti organizacijai;• plėtoti profesinių ryšių tinklą mokslo klausimais;• užtikrinti, kad būtų laikomasi nustatytos politikos;• palaikyti ryšius su valdžios institucijomis."
111409,"Mokslų akademijos mokslinis sekretorius","Kuruoja bendrą organizacijos veiklą, palaiko ryšius su valstybės valdžios institucijomis bei užsienio tarptautinėmis mokslo organizacijomis, kad būtų įgyvendinami veiklos tikslai ir atliekamos nustatytos funkcijos","• koordinuoja ryšius tarp organizacijos valdymo organų ir padalinių, kuriems pavesta įgyvendinti organizacijos politikos kryptis, programas, taisykles ir nuostatus;• kuruoja organizacijos padalinių veiklos planus ir ataskaitas;• vykdo veiklos stebėseną ir vertinimą pagal nustatytus tikslus ir politikos kryptis;• atstovauja organizacijai valstybės valdžios institucijose, įmonėse bei organizacijose;• organizuoja konferencijas, akademinius skaitymus, premijų konkursus bei kitus mokslo populiarinimo renginius;• bendradarbiauja su užsienio tarptautinėmis mokslo organizacijomis. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• plėtoti profesinių ryšių tinklą mokslo klausimais;• rengti ir skaityti viešus pranešimus;• bendradarbiauti organizacijos kasdienėje veikloje."
111490,"Kiti specialios paskirties organizacijų vadovai","Kiti specialios paskirties organizacijų vadovai, kurie neišvardyti 1114 pogrupyje „Specialios paskirties organizacijų vadovai“ ir kurie atlieka administracines užduotis bei pareigas, kurios nėra priskirtos valstybės ar kitų institucijų kompetencijai. Šios profesijos atstovai yra ir vadovų pavaduotojai.","• nustato ir rengia organizacijos politikos kryptis, taisykles bei nuostatas ir vykdo organizacijos veiklos stebėseną ir vertinimą pagal nustatytus tikslus bei politikos kryptis;• vadovauja padalinių, kuriems pavesta įgyvendinti organizacijos politikos kryptis, programas, taisykles ir nuostatas, veiklai ir kuruoja organizacijos padalinių veiklos planus ir ataskaitas;• užtikrina tinkamų sistemų ir procedūrų, skirtų biudžetui kontroliuoti, parengimą ir įgyvendinimą;• atstovauja organizacijai valstybės valdžios institucijose, įmonėse bei organizacijose;• bendradarbiauja su užsienio tarptautinėmis organizacijomis. ","• užtikrinti, kad būtų laikomasi nustatytos politikos;• atstovauti organizacijai;• palaikyti ryšius su valdžios institucijomis;• plėtoti profesinių ryšių tinklą;• rengti ir skaityti viešus pranešimus;• bendradarbiauti organizacijos kasdienėje veikloje."
112001,"Įmonės, įstaigos ar organizacijos vadovas","Vadovauja įmonės veiklai ir užtikrina, kad būtų įgyvendinti strateginiai veiklos tikslai, planai ir atliekamos kasdienės užduotys. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• nustato įmonės tikslus, strategijas, politikos kryptis, atsako už veiklos plano parengimą, tikslų nustatymą bei jų įgyvendinimą;• atlieka personalo valdymo funkcijas ir organizuoja padalinių veiklą;• analizuoja darbo rezultatus, įvertina jų efektyvumą ir teikia ataskaitas direktorių taryboms ir valdantiesiems organams;• valdo biudžetą užtikrindamas išlaidų kontrolę;• užtikrina, kad būtų laikomasi įstatymų, nuostatų ir kitų teisės aktų;• atstovauja įmonei palaikant santykius su kitomis įstaigomis, organizacijomis bei fiziniais asmenimis. ","• kurti organizacinę struktūrą;• planuoti vidutinės trukmės ir ilgalaikius tikslus;• užtikrinti verslo veiklos teisėtumą;• stebėti pagrindinius veiklos rezultatų rodiklius;• vykdyti personalo valdymo veiklą;• valdyti finansinius išteklius."
121101,"Ekonomikos ir (ar) finansų direktorius","Organizuoja įmonės finansinės ir ekonominės veiklos planavimą, nustato finansinių išteklių ir įmonės investicinę politiką bei kontroliuoja ekonomišką materialiųjų, darbo ir finansinių išteklių naudojimą.","• nustato apskaitos politiką, atsižvelgdamas į įmonės veiklos struktūrą ir ypatumus, parenka finansinės apskaitos sistemą bei apskaitos registrus;• valdo įmonės finansines operacijas ir užtikrina racionalų įmonės ir jos padalinių finansinės apskaitos ir atsiskaitymų organizavimą;• atlieka ekonominių rodiklių skaičiavimus ir analizę;• parengia finansines įmonės ataskaitas mokesčių ir audito įstaigoms;• bendradarbiauja su visų struktūrinių įmonės padalinių vadovais organizacijos, finansinės ir ūkinės veiklos klausimais;• vertina bendrovės strateginius planus finansiniu požiūriu.","• užtikrinti finansų politikos vykdymą;• analizuoti finansines rinkos tendencijas;• parengti finansinį planą;• konsultuoti finansų klausimais;• analizuoti finansinę įmonės veiklą;• bendradarbiauti su vadovais."
121102,"Vyriausiasis apskaitos specialistas (vyriausiasis buhalteris)","Organizuoja įmonės finansinę apskaitą ir kontroliuoja ekonomišką materialiųjų, darbo, finansinių išteklių naudojimą, įmonės nuosavybės saugumą bei vadovauja įmonės buhalterijos darbuotojams.","• nustato apskaitos politiką, atsižvelgdamas į įmonės veiklos struktūrą bei ypatumus ir užtikrina jos finansinį stabilumą;• apdoroja su finansų valdymu susijusią informaciją, peržiūri ir analizuoja finansines ataskaitas, biudžetus ir verslo planus;• organizuoja turto, įsipareigojimų, ūkinių operacijų, prekių, materialiųjų vertybių ir piniginių lėšų apskaitą bei įmonės buhalterijos darbą;• rengia su finansų valdymu susijusius dokumentus, ataskaitas ir mokesčių deklaracijas;• teikia su mokesčiais susijusias konsultacijas. ","• analizuoti finansinę įmonės veiklą;• parengti finansinį planą;• prižiūrėti apskaitos operacijas;• užtikrinti apskaitos normų laikymąsi;• rengti finansines ataskaitas."
121103,"Apskaitos padalinio vadovas","Organizuoja apskaitos padalinio veiklos darbą, užtikrina finansinių ataskaitų parengimą, efektyvią, atliekamą laiku ir teisingą įmonės ūkinių operacijų buhalterinę apskaitą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• nustato apskaitos politiką, atsižvelgdamas į įmonės veiklos struktūrą bei ypatumus ir užtikrina jos finansinį stabilumą;• tvarko, kaupia, sistemina bei apibendrina informaciją ir ją panaudoja priimant sprendimus bei užtikrina kokybišką periodinių finansinių ataskaitų parengimą;• analizuoja teisės aktus, reglamentuojančius finansinę apskaitą;• organizuoja apskaitos darbuotojų darbą ir nustato metines veiklos užduotis;• teikia su mokesčiais susijusias konsultacijas. ","• rengti apskaitos procedūras ir nustatyti apskaitos reguliavimo metodus bei gaires;• interpretuoti finansines ataskaitas;• užtikrinti apskaitos normų laikymąsi;• prižiūrėti apskaitos operacijas;• rengti finansines ataskaitas;• nustatyti apskaitos klaidas."
121104,"Finansų padalinio vadovas","Vertina įmonės strateginius planus finansiniu požiūriu, užtikrina teisingą ir laiku atliekamą finansinių dokumentų bei ataskaitų pateikimą mokesčių ir audito įstaigoms. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vertina finansinę įmonės padėtį, analizuoja pinigų srautus, investavimo galimybes ir susijusias rizikas;• organizuoja buhalterinės apskaitos vykdymą, atlieka finansinių operacijų priežiūrą ir užtikrina periodinių finansinių ataskaitų kokybišką parengimą;• analizuoja teisės aktus, reglamentuojančius finansinę apskaitą, ir teikia su mokesčiais susijusias konsultacijas;• organizuoja finansų padalinio darbuotojų darbą ir nustato metines veiklos užduotis;• rengia ir pateikia reikalingą informaciją generaliniam direktoriui, padalinių vadovams. ","• analizuoti finansinę įmonės veiklą;• užtikrinti finansų politikos vykdymą;• rengti finansines ataskaitas;• konsultuoti finansų klausimais;• bendradarbiauti su vadovais."
121105,"Ekonomikos padalinio vadovas","Užtikrina įmonės ekonominį tvarumą tinkamai planuojant ir panaudojant materialiuosius ir finansinius išteklius, vykdant įvairias veiklas bei plėtojant infrastruktūrą. Šios profesijos atstovas yra ir vadovo pavaduotojas.","• vertina finansinę įmonės padėtį, valdo ir stebi pinigų srautus;• organizuoja įmonės duomenų rinkimą, sisteminimą ir apdorojimą, • sudaro biudžeto, prognozių ir finansinius planus, rengia įmonės finansines ataskaitas, atlieka ekonominių rodiklių skaičiavimus ir analizę;• organizuoja ekonomikos padalinio darbuotojų darbą ir nustato metines veiklos užduotis;• rengia ir pateikia analitinę medžiagą generaliniam direktoriui, departamentų ir padalinių vadovams. ","• analizuoti finansinę įmonės veiklą;• užtikrinti finansų politikos vykdymą;• vertinti biudžetus;• rengti finansines ataskaitas;• konsultuoti finansų klausimais;• bendradarbiauti su vadovais."
